"Date","Country","City","Specie","count","min","max","median","variance"
"2015-05-15","VN","Huế","pm25",24,35,75,53,1032.59
"2015-01-06","VN","Huế","pm25",24,55,147,80,6587.75
"2015-01-29","VN","Huế","pm25",24,66,152,91,8399.98
"2015-02-07","VN","Huế","pm25",24,96,161,141,3396.5
"2015-02-18","VN","Huế","pm25",24,53,425,65,54869.6
"2015-04-11","VN","Huế","pm25",24,16,64,53,2590.42
"2015-04-16","VN","Huế","pm25",24,71,153,94,6261.45
"2015-05-13","VN","Huế","pm25",24,54,96,74,1513.03
"2015-06-23","VN","Huế","pm25",24,41,76,54,679.98
"2015-02-17","VN","Huế","pm25",24,62,104,75,1223.46
"2015-06-22","VN","Huế","pm25",24,24,167,51,10499.4
"2015-01-30","VN","Huế","pm25",24,51,143,73,7359.35
"2015-02-09","VN","Huế","pm25",24,154,169,158,194.49
"2015-02-10","VN","Huế","pm25",24,114,165,154,2806.67
"2015-06-30","VN","Huế","pm25",24,25,76,39,2485.05
"2015-02-04","VN","Huế","pm25",24,42,119,66,3377.97
"2015-02-26","VN","Huế","pm25",24,71,129,83,1816.94
"2015-03-30","VN","Huế","pm25",24,58,110,72,1823.03
"2015-06-19","VN","Huế","pm25",24,18,75,37,2757.39
"2015-06-27","VN","Huế","pm25",24,19,70,46,2660.85
"2015-01-26","VN","Huế","pm25",20,89,160,115,5042.53
"2015-03-10","VN","Huế","pm25",24,53,117,64,3668.53
"2015-04-03","VN","Huế","pm25",24,67,153,87,5304.76
"2015-06-09","VN","Huế","pm25",15,38,62,53,629.24
"2015-01-12","VN","Huế","pm25",24,12,82,59,5975
"2015-02-13","VN","Huế","pm25",24,75,175,132,9528.91
"2015-03-27","VN","Huế","pm25",24,52,79,60,482.01
"2015-02-27","VN","Huế","pm25",24,63,146,80,3053.04
"2015-06-24","VN","Huế","pm25",24,17,69,38,1365.63
"2015-07-03","VN","Huế","pm25",24,42,100,63,2083.19
"2015-02-03","VN","Huế","pm25",24,57,106,65,1881.72
"2015-02-05","VN","Huế","pm25",24,35,228,74,17421.7
"2015-02-08","VN","Huế","pm25",24,53,154,125,13225.6
"2015-06-06","VN","Huế","pm25",12,29,53,47,466.29
"2015-06-20","VN","Huế","pm25",24,27,89,49,1733.03
"2014-12-31","VN","Huế","pm25",24,59,174,122,12426.9
"2015-01-09","VN","Huế","pm25",24,76,96,83,437.66
"2015-04-15","VN","Huế","pm25",24,81,151,96,2432.88
"2015-06-12","VN","Huế","pm25",24,30,79,47,2230.27
"2014-12-30","VN","Huế","pm25",24,98,166,135,5690.71
"2015-03-24","VN","Huế","pm25",9,36,90,70,2881.94
"2015-04-07","VN","Huế","pm25",24,64,109,82,1658.48
"2015-02-19","VN","Huế","pm25",24,38,156,56,8155.58
"2015-03-15","VN","Huế","pm25",24,80,141,98,2378.84
"2015-04-09","VN","Huế","pm25",24,45,69,60,500.27
"2015-04-14","VN","Huế","pm25",24,84,123,91,1339.98
"2015-05-11","VN","Huế","pm25",24,36,125,64,7281.29
"2015-05-18","VN","Huế","pm25",24,36,98,47,2446.07
"2015-01-20","VN","Huế","pm25",24,75,167,156,8679.93
"2015-02-01","VN","Huế","pm25",24,63,234,77,11400.3
"2015-02-24","VN","Huế","pm25",24,51,95,65,2476.5
"2015-05-16","VN","Huế","pm25",24,30,91,44,1837.81
"2015-06-28","VN","Huế","pm25",24,21,110,46,4619.98
"2015-01-13","VN","Huế","pm25",24,46,124,84,5650.42
"2015-04-18","VN","Huế","pm25",6,130,151,136,669.67
"2015-05-12","VN","Huế","pm25",24,41,151,75,7886.3
"2015-03-25","VN","Huế","pm25",24,62,86,71,415.63
"2015-04-08","VN","Huế","pm25",24,27,88,55,3197.32
"2015-04-17","VN","Huế","pm25",24,84,155,108,6003.41
"2015-01-04","VN","Huế","pm25",24,73,175,126,11577.8
"2015-03-04","VN","Huế","pm25",24,75,118,88,1163.46
"2015-03-09","VN","Huế","pm25",24,52,111,80,2816.52
"2015-01-14","VN","Huế","pm25",24,81,155,98,6823.46
"2015-02-28","VN","Huế","pm25",24,58,151,81,5419.11
"2015-03-03","VN","Huế","pm25",24,65,151,95,5654.49
"2015-05-07","VN","Huế","pm25",24,52,112,60,2147.75
"2015-06-08","VN","Huế","pm25",11,39,52,45,200.91
"2015-01-21","VN","Huế","pm25",24,123,176,155,2350.14
"2015-01-22","VN","Huế","pm25",24,117,182,154,2668.68
"2015-03-17","VN","Huế","pm25",12,102,151,109,2479.7
"2015-04-01","VN","Huế","no2",24,2.2,16.7,8.6,141.67
"2015-06-03","VN","Huế","no2",21,0.4,172.2,5.7,13356
"2015-03-02","VN","Huế","no2",24,0.5,4.1,2.4,11.23
"2015-03-24","VN","Huế","no2",9,2.3,19.8,10.4,278.14
"2015-04-08","VN","Huế","no2",24,0.5,10,4.2,52.37
"2014-12-29","VN","Huế","no2",9,5.8,10.3,7.7,16.86
"2015-01-17","VN","Huế","no2",24,5.6,36.9,15.7,710.85
"2015-04-05","VN","Huế","no2",24,2.7,18.4,7.6,169.46
"2015-05-04","VN","Huế","no2",18,0.5,159.4,12.5,13353.8
"2015-03-17","VN","Huế","no2",13,0.9,12.4,1.8,204.83
"2015-04-04","VN","Huế","no2",24,2,20.5,8.9,210.03
"2015-06-07","VN","Huế","no2",18,0.9,129.3,3.7,8812.73
"2015-06-14","VN","Huế","no2",24,2.7,131.8,7.9,6604.79
"2015-06-28","VN","Huế","no2",23,2.9,140.6,7.8,7807.94
"2015-03-01","VN","Huế","no2",24,1.9,6.4,3.1,18.3
"2015-03-06","VN","Huế","no2",24,1.8,7.3,5.2,31.31
"2015-02-28","VN","Huế","no2",24,1,7.3,3,33.19
"2015-03-03","VN","Huế","no2",24,0.6,6.9,3.4,41.7
"2015-05-05","VN","Huế","no2",18,4.8,20.3,8.4,123.75
"2015-06-12","VN","Huế","no2",24,1.1,121.2,5.3,5637.32
"2015-01-02","VN","Huế","no2",24,3.7,12.6,8.4,67.09
"2015-01-05","VN","Huế","no2",24,1.3,10.7,3.7,90.84
"2015-01-25","VN","Huế","no2",24,3.6,8.4,5.1,21.06
"2015-03-04","VN","Huế","no2",24,1.6,25.9,5.2,738.66
"2015-04-02","VN","Huế","no2",24,2.4,22.1,7.5,243.8
"2015-04-06","VN","Huế","no2",24,1.6,26.4,8.9,249.09
"2015-06-02","VN","Huế","no2",18,0.8,139.1,3.8,10210.8
"2015-06-05","VN","Huế","no2",14,0.2,138,3.3,12942.4
"2015-01-18","VN","Huế","no2",24,6,19.9,10.1,153.64
"2015-01-19","VN","Huế","no2",24,6.5,42.7,15.1,1299.96
"2015-01-23","VN","Huế","no2",24,5.1,23.5,7.4,248.41
"2015-02-19","VN","Huế","no2",24,1,3.2,1.8,4.24
"2015-02-25","VN","Huế","no2",24,0.5,15.8,4.6,233.13
"2015-03-31","VN","Huế","no2",24,3.4,17,6.8,124.19
"2015-05-08","VN","Huế","no2",22,0.7,137.8,9.7,7650.94
"2015-06-16","VN","Huế","no2",24,0.8,152.6,7.2,9038.77
"2015-01-11","VN","Huế","no2",24,2.8,12.4,9.8,126.64
"2015-01-13","VN","Huế","no2",24,4,31.7,17.7,910.56
"2015-07-05","VN","Huế","no2",23,1,108.9,7.9,4832.06
"2015-02-05","VN","Huế","no2",24,2.4,8.4,4.8,30.26
"2015-02-13","VN","Huế","no2",24,4.1,22.6,6,253.25
"2015-02-22","VN","Huế","no2",24,0.6,3.3,2.2,8.41
"2015-01-03","VN","Huế","no2",24,4.1,13.3,11.2,109.51
"2015-02-02","VN","Huế","no2",24,1.1,9.1,4.3,66.02
"2015-06-11","VN","Huế","no2",24,0.8,158.5,4.7,9913.4
"2015-07-04","VN","Huế","no2",24,1.1,117.4,6.3,5260.01
"2015-03-15","VN","Huế","no2",24,0.9,7.9,3.2,41.17
"2015-04-15","VN","Huế","no2",24,2.7,17.3,8.8,175.76
"2015-03-29","VN","Huế","no2",22,1.5,14.2,6,84.07
"2015-01-09","VN","Huế","no2",24,1.1,11.5,4,78.11
"2015-02-12","VN","Huế","no2",24,3.4,27.5,7.6,409.36
"2015-03-27","VN","Huế","no2",24,0.5,10.6,5.9,90.15
"2015-05-07","VN","Huế","no2",23,0.4,156.1,7.9,9708.43
